2024-05-02 12:17:00 [main] INFO  m.s.DependencyGroupTypeCreator - Dependency group type found: stacking
2024-05-02 12:17:00 [main] INFO  m.s.DependencyGroupTypeCreator - Dependency group types for insertion: [base-test]
2024-05-02 12:17:00 [main] INFO  m.s.DependencyGroupTypeCreator - Dependency type found: sklearn-contrib-lightning
2024-05-02 12:17:00 [main] INFO  m.s.DependencyGroupTypeCreator - Dependency type found: catboost
2024-05-02 12:17:00 [main] INFO  m.s.DependencyGroupTypeCreator - Dependency type found: sktime
2024-05-02 12:17:00 [main] INFO  m.s.DependencyGroupTypeCreator - Dependency type found: pmdarima
2024-05-02 12:17:00 [main] INFO  m.s.DependencyGroupTypeCreator - Dependency type found: statsforecast
2024-05-02 12:17:00 [main] INFO  m.s.DependencyGroupTypeCreator - Dependency type found: darts
2024-05-02 12:17:00 [main] INFO  m.s.DependencyGroupTypeCreator - Dependency type found: tensorboardx
2024-05-02 12:17:00 [main] INFO  m.s.DependencyGroupTypeCreator - Dependency type found: holidays
2024-05-02 12:17:00 [main] INFO  m.s.DependencyGroupTypeCreator - Dependency type found: ipython
2024-05-02 12:17:00 [main] INFO  m.s.DependencyGroupTypeCreator - Dependency type found: transformers
2024-05-02 12:17:00 [main] INFO  m.s.DependencyGroupTypeCreator - Dependency type found: datasets
2024-05-02 12:17:00 [main] INFO  m.s.DependencyGroupTypeCreator - Dependency type found: scikit-learn-intelex
2024-05-02 12:17:00 [main] INFO  m.s.DependencyGroupTypeCreator - Dependency type found: lightgbm
2024-05-02 12:17:00 [main] INFO  m.s.DependencyGroupTypeCreator - Dependency type found: xgboost
2024-05-02 12:17:00 [main] INFO  m.s.DependencyGroupTypeCreator - Dependency type found: mrmr-selection
2024-05-02 12:17:00 [main] INFO  m.s.DependencyGroupTypeCreator - Dependency type found: polars
2024-05-02 12:17:00 [main] INFO  m.s.DependencyGroupTypeCreator - Dependency types for insertion: {base=[], catboost=[], darts=[], huggingface=[], intelex=[], lightgbm=[], lightning=[], stacking=[], statsforecast=[], sktime=[], xgboost=[]}
2024-05-02 12:17:00 [main] INFO  m.s.DependencyGroupTypeCreator - {base=[], catboost=[], darts=[], huggingface=[], intelex=[], lightgbm=[], lightning=[], stacking=[], statsforecast=[], sktime=[], xgboost=[]}
2024-05-02 12:17:00 [main] INFO  m.s.EnsembleFamilyCreator - Model Ensemble Types: [ModelEnsembleTypeDTO{id='a71f6eaa-86e1-46c1-8233-c479871f07f7', name='other'}, ModelEnsembleTypeDTO{id='a71f6eaa-86e1-46c1-8233-c479871f07f1', name='forest'}, ModelEnsembleTypeDTO{id='a71f6eaa-86e1-46c1-8233-c479871f07f0', name='none'}]
2024-05-02 12:17:00 [main] INFO  m.s.EnsembleFamilyCreator - Model Family Types: [ModelFamilyTypeDTO{id='a71f6eaa-86e1-46c1-8233-c479871f07f2', name='other'}, ModelFamilyTypeDTO{id='a71f6eaa-86e1-46c1-8233-c479871f07f3', name='linear'}, ModelFamilyTypeDTO{id='a71f6eaa-86e1-46c1-8233-c479871f07f4', name='tree'}]
2024-05-02 12:17:00 [main] INFO  m.s.EnsembleFamilyCreator - Model ensemble type found: other
2024-05-02 12:17:00 [main] INFO  m.s.EnsembleFamilyCreator - Model ensemble type found: forest
2024-05-02 12:17:00 [main] INFO  m.s.EnsembleFamilyCreator - Model ensemble type found: none
2024-05-02 12:17:00 [main] INFO  m.s.EnsembleFamilyCreator - Model ensemble for insertion: [ensemble-test]
2024-05-02 12:17:00 [main] INFO  m.s.EnsembleFamilyCreator - Model family type found: other
2024-05-02 12:17:00 [main] INFO  m.s.EnsembleFamilyCreator - Model family type found: linear
2024-05-02 12:17:00 [main] INFO  m.s.EnsembleFamilyCreator - Model family type found: tree
2024-05-02 12:17:00 [main] INFO  m.s.EnsembleFamilyCreator - Model family for insertion: [family-test]
2024-05-02 12:17:00 [main] INFO  m.s.GroupTypeCreator - Model group types: [ModelGroupTypeDTO{id='b71f6eaa-86e1-46c1-8233-c479871f07f1', name='fast'}, ModelGroupTypeDTO{id='b71f6eaa-86e1-46c1-8233-c479871f07f2', name='explainable'}, ModelGroupTypeDTO{id='b71f6eaa-86e1-46c1-8233-c479871f07f3', name='advanced'}]
2024-05-02 12:17:00 [main] INFO  m.s.GroupTypeCreator - Model Group type not found: fast
2024-05-02 12:17:00 [main] INFO  m.s.GroupTypeCreator - Model Group type found: explainable
2024-05-02 12:17:00 [main] INFO  m.s.GroupTypeCreator - Model Group type found: advanced
2024-05-02 12:17:00 [main] INFO  m.s.GroupTypeCreator - Model Group types for deletion: [fast]
2024-05-02 12:17:00 [main] INFO  m.s.GroupTypeCreator - Model Group types for insertion: [test]
2024-05-02 12:17:00 [main] INFO  m.s.MetricsCreator - Metrics: [MetricDTO{id='c71f6eaa-86e1-46c1-8233-c479871f07f1', metric='classification-log-loss'}, MetricDTO{id='c71f6eaa-86e1-46c1-8233-c479871f07f2', metric='classification-roc'}]
2024-05-02 12:17:00 [main] INFO  m.s.MetricsCreator - Metric found: classification-log-loss
2024-05-02 12:17:00 [main] INFO  m.s.MetricsCreator - Metric found: classification-roc
2024-05-02 12:17:00 [main] INFO  m.s.MetricsCreator - Metric for insertion: [classification-log-loss-test]
2024-05-02 12:17:00 [main] INFO  m.static_query_creator.MlTaskCreator - Mltask types: [MlTaskTypeDTO{id='b71f6eaa-86e1-46c1-8233-c479871f07f3', name='forecasting'}, MlTaskTypeDTO{id='b71f6eaa-86e1-46c1-8233-c479871f07f4', name='regression'}, MlTaskTypeDTO{id='b71f6eaa-86e1-46c1-8233-c479871f07f5', name='classification'}]
2024-05-02 12:17:00 [main] INFO  m.static_query_creator.MlTaskCreator - MlTask type found: forecasting
2024-05-02 12:17:00 [main] INFO  m.static_query_creator.MlTaskCreator - MlTask type found: regression
2024-05-02 12:17:00 [main] INFO  m.static_query_creator.MlTaskCreator - MlTask type found: classification
2024-05-02 12:17:00 [main] INFO  m.static_query_creator.MlTaskCreator - MlTask types for insertion: [classification_2]
2024-05-02 12:17:01 [main] INFO  m.s.ModelStructureCreator - Model structures: [ModelStructureTypeDTO{id='c71f6eaa-86e1-46c1-8233-c479871f07f3', name='dynamic'}, ModelStructureTypeDTO{id='c71f6eaa-86e1-46c1-8233-c479871f07f4', name='base'}]
2024-05-02 12:17:01 [main] INFO  m.s.ModelStructureCreator - Model structure type found: dynamic
2024-05-02 12:17:01 [main] INFO  m.s.ModelStructureCreator - Model structure type found: base
2024-05-02 12:17:01 [main] INFO  m.s.ModelStructureCreator - Model types for insertion: [base_2]
2024-05-02 12:17:01 [main] INFO  m.s.ModelTypeCreator - Model types: [ModelTypeDTO{id='c81f6eaa-86e1-46c1-8233-c479871f07f1', name='Linear Model'}, ModelTypeDTO{id='c81f6eaa-86e1-46c1-8233-c479871f07f2', name='Kernel Model'}, ModelTypeDTO{id='c81f6eaa-86e1-46c1-8233-c479871f07f3', name='Baseline Model'}, ModelTypeDTO{id='c81f6eaa-86e1-46c1-8233-c479871f07f4', name='Tree-Based Model'}, ModelTypeDTO{id='c81f6eaa-86e1-46c1-8233-c479871f07f5', name='Nearest Neighbours Model'}, ModelTypeDTO{id='c81f6eaa-86e1-46c1-8233-c479871f07f6', name='Ensemble Model'}, ModelTypeDTO{id='c81f6eaa-86e1-46c1-8233-c479871f07f7', name='Bayesian Model'}, ModelTypeDTO{id='c81f6eaa-86e1-46c1-8233-c479871f07f8', name='Deep Learning Model'}, ModelTypeDTO{id='c81f6eaa-86e1-46c1-8233-c479871f07f9', name='Support Vector Machine Model'}, ModelTypeDTO{id='c91f6eaa-86e1-46c1-8233-c479871f07f1', name='Gradient Model'}, ModelTypeDTO{id='c91f6eaa-86e1-46c1-8233-c479871f07f0', name='Statistical Model'}]
2024-05-02 12:17:01 [main] INFO  m.s.ModelTypeCreator - Model type found: Linear Model
2024-05-02 12:17:01 [main] INFO  m.s.ModelTypeCreator - Model type found: Kernel Model
2024-05-02 12:17:01 [main] INFO  m.s.ModelTypeCreator - Model type found: Baseline Model
2024-05-02 12:17:01 [main] INFO  m.s.ModelTypeCreator - Model type found: Tree-Based Model
2024-05-02 12:17:01 [main] INFO  m.s.ModelTypeCreator - Model type found: Nearest Neighbours Model
2024-05-02 12:17:01 [main] INFO  m.s.ModelTypeCreator - Model type found: Ensemble Model
2024-05-02 12:17:01 [main] INFO  m.s.ModelTypeCreator - Model type found: Bayesian Model
2024-05-02 12:17:01 [main] INFO  m.s.ModelTypeCreator - Model type found: Deep Learning Model
2024-05-02 12:17:01 [main] INFO  m.s.ModelTypeCreator - Model type found: Support Vector Machine Model
2024-05-02 12:17:01 [main] INFO  m.s.ModelTypeCreator - Model type found: Gradient Model
2024-05-02 12:17:01 [main] INFO  m.s.ModelTypeCreator - Model type found: Statistical Model
2024-05-02 12:17:01 [main] INFO  m.s.ModelTypeCreator - Model types for insertion: [Statistical Model test]
2024-05-02 12:17:01 [main] INFO  m.s.ParameterDistributionTypeCreator - Parameter Distribution types: [ParameterDistributionTypeDTO{id='a71f6eaa-86e1-46c1-8233-c479871f07f6', name='uniform'}]
2024-05-02 12:17:01 [main] INFO  m.s.ParameterDistributionTypeCreator - Parameter distribution type found: uniform
2024-05-02 12:17:01 [main] INFO  m.s.ParameterDistributionTypeCreator - Parameter distribution types for insertion: [uniform_test]
2024-05-02 12:17:01 [main] INFO  m.s.DependencyGroupTypeCreator - {test_key=[test]}
2024-05-02 12:17:01 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
